Heading,Value
Sex,Female
Race,White
Number of victims,5-48 suspected
Country where killing occurred,United States
States where killing occurred,Connecticut
Cities where killing occurred,Windsor
Type of killer,Financial gain
Height,5’3”
Childhood Information:,
Date of birth,October 1873
Location,"Litchfield, Connecticut"
Birth order,MISSING
Number of siblings,4
Raised by,Parents
Birth category,MISSING
Parent’s marital status,Married
Did serial killer spend time in an orphanage?,No
Did serial killer spend time in a foster home?,No
Was serial killer ever raised by a relative?,No
Did serial killer live with a step-parent?,No
Family event,MISSING
Age of family event,MISSING
Problems in school?,No
Teased while in school?,No
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,No
Psychologically abused?,No
Sexually abused?,No
Father’s occupation,MISSING
Age of first sexual experience,MISSING
Age when first had intercourse,MISSING
Mother’s occupation,MISSING
Father abused drugs/alcohol,MISSING 
Mother abused drugs/alcohol,MISSING
Cognitive Ability:,
Highest grade in school,MISSING
Highest degree,MISSING
Grades in school,MISSING
IQ,MISSING
Source of IQ information,MISSING
Work History:,
Served in the military?,No
Branch,None
Type of discharge,None 
Saw combat duty,No
Killed enemy during service?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,Caretaker
Employment status during series,Self-employed
Relationships:, 
Sexual preference,Heterosexual
Marital status,Remarried
Number of children,1
Living with,Spouse
Triad:,
Animal torture,MISSING
Fire setting,MISSING
Bed wetting,MISSING
Killer Psychological Information:,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist (prior to killing)?,No
Time in forensic hospital (prior to killing)?,No
Diagnosis, None
Killer Criminal History (Prior to the series):,
Committed previous crimes?,No
Spent time in jail?,No
Spent time in prison?,No
Killed prior to series?  Age?,No
Serial Killing:,
Number of victims (suspected of),5-48
Number of victims (confessed to),MISSING
Number of victims (convicted of),MISSING
Victim type,Patients
Killer age at start of series,35
Date of first kill in series,1908
Date of final kill in series,1916
Gender of victims,Mixed
Race of victims,White
Age of victims,Mixed
Type of victim,Patients
Method of killing,Poison
Was gun used?,No
Type,None
Did killer have a partner?,No
Name of partner,N/A
Sex of partner,N/A
Relationship of partner,N/A
Type of serial killer,Financial gain
How close did killer live?,Close
Location of first contact,Victim's homes
Location of killing,Victim's homes
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Victim abducted or killed at contact?,No
Behavior During Crimes:,
Rape?,No
Tortured victims?,No
Stalked victims?,No
Overkill?,No
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,No
After Death Behavior:,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,Yes
Disposal of Body:,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-up and disposed of,No
Burned body,MISSING
"Dumped body in lake, river, etc.",MISSING
"Moved, took home",No
Sentencing:,
Date killer arrested,1916
Date convicted,1919
Sentence,Life
Killer executed?,No
Did killer plead NGRI?,No
Was the NGRI plea successful?,N/A
Did serial killer confess?,No
Name and state of prison,"Wethersfield Prison, Connecticut"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"April 23, 1962="
Cause of death,Natural
